,book,rating,title
377,/book/show/11275264-misfits-and-heroes,4.13,Misfits And Heroes
378,/book/show/11277218-i-am-half-sick-of-shadows,4.09,I Am Half Sick Of Shadows
379,/book/show/11278522-loving-men-respecting-women,4.5,Loving Men Respecting Women
380,/book/show/11281527-killer-byte-diana-tregarde-series,3.95,Killer Byte Diana Tregarde Series
381,/book/show/11292794-magic-bites,4.07,Magic Bites
382,/book/show/11292795-magic-strikes,4.44,Magic Strikes
383,/book/show/11292796-magic-burns,4.33,Magic Burns
384,/book/show/11298183-the-woods,4.05,The Woods
385,/book/show/11298881-keep-out-top-secret-places-governments-don-t-want-you-to-know-about,3.64,Keep Out Top Secret Places Governments Don T Want You To Know About
386,/book/show/11300302-alice-in-zombieland,4.05,Alice In Zombieland
387,/book/show/11301989-the-hunger-games-trilogy,4.48,The Hunger Games Trilogy
388,/book/show/11307615-the-grand-sophy,4.17,The Grand Sophy
389,/book/show/11307617-arabella,4.06,Arabella
390,/book/show/11316743-the-mind-and-the-machine,4.08,The Mind And The Machine
391,/book/show/11324166-timeless,4.12,Timeless
392,/book/show/11330361-a-stolen-life,3.9,A Stolen Life
393,/book/show/11331028-the-meaning-of-liff,3.94,The Meaning Of Liff
394,/book/show/11331168-love-goes-to-buildings-on-fire,3.91,Love Goes To Buildings On Fire
395,/book/show/11337189-a-universe-from-nothing,3.93,A Universe From Nothing
396,/book/show/11339901-the-litigators,3.79,The Litigators
397,/book/show/11340205-kill-your-friends,3.81,Kill Your Friends
398,/book/show/11340217-khantara,4.48,Khantara
399,/book/show/11342260-caged-in-darkness,3.57,Caged In Darkness
400,/book/show/11343166-master-and-apprentice,3.96,Master And Apprentice
401,/book/show/11345309-go-the-f-k-to-sleep,4.26,Go The F K To Sleep
402,/book/show/11346863-the-savage-wars-of-peace,4.5,The Savage Wars Of Peace
403,/book/show/11349915-my-maid-invests-in-the-stock-market-and-why-you-should-too,4.22,My Maid Invests In The Stock Market And Why You Should Too
404,/book/show/11350222-44-scotland-street,3.62,44 Scotland Street
405,/book/show/11353013-the-horror-of-the-avalanche-express,5.0,The Horror Of The Avalanche Express
