,book,genre
481,/book/show/18168196-requiem,Mystery
482,/book/show/28802620-kane,Short Stories
483,/book/show/5943970-kindred-in-death,Mystery
484,/book/show/6411961-the-lost-symbol,Fiction
485,/book/show/24496291-every-second-weekend,
486,/book/show/18938091-minecraft,Games
487,/book/show/12257930-mundo-anillo,Science Fiction
488,/book/show/24358547-make-me,Erotica
489,/book/show/25485510-alluring-song,Fantasy
490,/book/show/25169897-all-the-beautiful-brides,Mystery
491,/book/show/27226549-kitten-s-preparation,Erotica
492,/book/show/16087861-flame-of-sevenwaters,Fantasy
493,/book/show/29363501-fantastic-beasts-and-where-to-find-them,Fantasy
494,/book/show/11061022-fear-no-evil,Romance
495,/book/show/35566351-h-g-wells,Classics
496,/book/show/18818071-the-recruit,Young Adult
497,/book/show/29424038-tommy-s-exodus,Romance
498,/book/show/29072027-bred-by-the-minotaur,
499,/book/show/33385408-the-fifth-doll,Fantasy
500,/book/show/38111877-dark-of-night,Fantasy
501,/book/show/22078125-even-legends-die,Science Fiction
502,/book/show/7669259-everfound,Fantasy
503,/book/show/28014095-omert,Romance
504,/book/show/17169111-curious-warnings,Horror
505,/book/show/32715682-lucid-umbra-people,Horror
506,/book/show/28483277-beyond-the-horizon,Science Fiction
507,/book/show/6470037-library-of-the-dead,Thriller
508,/book/show/35909574-lainie-s-ladies,
509,/book/show/24402017-from-the-ashes,Fantasy
510,/book/show/31210066-the-medallion,Fantasy
511,/book/show/25381870-the-authentic-sale,Business
512,/book/show/24505346-as-my-wife,Romance
513,/book/show/36645717-fading-grace,
514,/book/show/38579849-exiles-escape,
515,/book/show/33313173-otis-grows,Childrens
516,/book/show/25165108-diary-of-a-wimpy-villager,Childrens
517,/book/show/34536952-if-my-dogs-were-a-pair-of-middle-aged-men,Sequential Art
518,/book/show/3014534-the-countryside-ideal,
519,/book/show/8492319-lover-unleashed,Fantasy
520,/book/show/27830346-rarity-from-the-hollow,Fantasy
521,/book/show/18722280-gino-s-italian-escape,Food and Drink
522,/book/show/20388173-the-aliveness-factor,
523,/book/show/13221379-what-money-can-t-buy,Philosophy
